Institución Padre,Dirección,Comuna,Región,Coordenadas Geográficas,Rubro de gasto,Periodo,Gasto
I MUNICIPALIDAD DE SAN IGNACIO,,San Ignacio,Región del Ñuble,"-36.799099,-72.0295793","RESMAS DE PAPEL MULTIPROPÓSITO, PARA DEPARTAMENTO DE SALUD, Orden de Compra generada por invitación a compra ágil: 3747-18-COT24",Enero/2024,825265
I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,"LOS ACACIOS  43, VILLA SAN PEDRO",San Pedro de La Paz,Región del Biobío ,"-36.84142335,-73.10317815295062",SDA 2695 Y 2700/ RESMAS PAPEL FOTOCOPIA DIRECCION DE TRANSITO,Enero/2024,684250
I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,"LOS ACACIOS  43, VILLA SAN PEDRO",San Pedro de La Paz,Región del Biobío ,"-36.84142335,-73.10317815295062",SDA 2683 RESMAS PAPEL PARA BODEGA - ENTREGAS PARCIALIZADAS MENSUALES,Enero/2024,4878643
I MUNICIPALIDAD DE SAN VICENTE,,San Vicente de Tagua Tagua,Región del Libertador General Bernardo O´Higgins,"-34.4392721,-71.07616568514135","PAPEL FOTOCOPIA TAMAÑO OFICIO-CARTA, PARA STOCK BODEGA UNIDAD DE COMPRAS, SEGÚN  compra ágil: 1050283-38-COT24",Enero/2024,1476374
I MUNICIPALIDAD DE TIRUA,,Tirúa,Región del Biobío ,"-38.3442095,-73.4934201",Adq.Papel Fotocopia Esc.Casa de Piedra Fond Inte2024,Enero/2024,1287937
I MUNICIPALIDAD DE VICUNA,Chacabuco 502 ,Vicuña,Región de Coquimbo ,"-30.0335973,-70.7135638",ADQUISICION RESMAS DE PAPEL PARA DEPTO DE EDUCACION MUNICIPAL VICUÑA (SEP),Enero/2024,4984315
I MUNICIPALIDAD DE VILLARRICA,"General Urrutia N°375, DAEM",Villarrica,Región de la Araucanía ,"-39.2834528,-72.22640737221154","Adquisición de papel Fotocopia tamaño Oficio y Carta para la Escuela Voipir de Ñancul, Fondos SEP",Enero/2024,1970283
CORP ADMINISTRATIVA DEL PODER JUDICIAL,"Huérfanos 1409, piso 19",Santiago,Región Metropolitana de Santiago,"0,0",Compra de resmas de papel para Stock Bodega ,Febrero/2024,6943650
CORP ADMINISTRATIVA DEL PODER JUDICIAL,,Puerto Montt,Región de los Lagos ,"0,0",MATERIALES DE OFICINA (PAPEL TAMAÑO OFICIO),Febrero/2024,187211
CORP MUNICIPAL DE EDUC SALUD CULTURA Y RECREACION DE LA FLORIDA,"Serafín Zamora N° 6600, La Florida",La Florida,Región Metropolitana de Santiago,"-33.5156067,-70.5885033",ADQUISICIÓN RESMA DE PAPEL CARTA Y OFICIO PARA LA CORPORACIÓN MUNICIPAL DE LA FLORIDA (COMUDEF).,Febrero/2024,43066100
FONDO NACIONAL DE SALUD,BLANCO  N°1131 OFICINA 21 ,Valparaíso,Región de Valparaíso ,"-34.9848391,-71.2385286",Resmas de Papel Orden de Compra: 839-2-CM24,Febrero/2024,3668175
I MUNICIPALIDAD DE CATEMU,,Catemu,Región de Valparaíso ,"-32.7787138,-70.9630788",Resmas de Papel Oficio y Carta compra ágil: 4283-6-COT24,Febrero/2024,590240
I MUNICIPALIDAD DE CURICO,,Curicó,Región del Maule ,"-34.98554105,-71.23854218545901",80296 RESMAS DE PAPEL CARTA Y OFICIO ESCUELA PADRE HURTADO DE CURICÓ  por invitación a compra ágil: 2440-80-COT24,Febrero/2024,650930
I MUNICIPALIDAD DE LONGAVI,"1 Norte, esquina 3 Poniente S/N, Longaví ",Longaví,Región del Maule ,"-35.9665705,-71.68415912678323",RESMAS DE PAPEL DAEM LONGAVI,Febrero/2024,1649518
I MUNICIPALIDAD DE MOSTAZAL,LUCO 400,Mostazal,Región del Libertador General Bernardo O´Higgins,"-33.98006625,-70.71155859430769",COMPRA DE PAPEL CARTA,Febrero/2024,2097732
I MUNICIPALIDAD DE PANQUEHUE,,Panquehue,Región de Valparaíso ,"-32.7705025,-70.8352998",PAPEL PARA FOTOCOPIA ,Febrero/2024,142836
I MUNICIPALIDAD DE PICHIDEGUA,"CALLE CHORRILLOS 46, COMUNA DE PICHIDEGUA, SEXTA REGION. DEPARTAMENTO DE SALUD MUNICIPAL",Pichidegua,Región del Libertador General Bernardo O´Higgins,"-34.35838195,-71.28310430419519",ID: 3946-71-CM24 Compra de Resmas de Papel para la Municipalidad de Pichidegua.,Febrero/2024,1143471
I MUNICIPALIDAD DE SALAMANCA,,Salamanca,Región de Coquimbo ,"-31.781005550000003,-70.96590110000001",RESMAS DE PAPEL OFICIO Y CARTA CESFAM CHILLEPIN compra ágil: 3688-25-COT24,Febrero/2024,428698
I MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,,San Pedro de La Paz,Región del Biobío ,"-36.84142335,-73.10317815295062", SDA 2791/ RESMAS PAPEL TAMAÑO OFICIO Y CARTA PARA JPL (compra ágil 2785-57-COT24),Abril/2024,439348
I MUNICIPALIDAD DE TEMUCO,,Temuco,Región de la Araucanía ,"-38.7397933,-72.5909289",S6 SEP - ADQ. DE RESMAS DE PAPEL OFICIO PARA ESCUELA LABRANZA ORD N°15 Orden de Compra generada por invitación a compra ágil: 5060-14-COT24,Febrero/2024,1220345
I MUNICIPALIDAD DE TIERRA AMARILLA,,Tierra Amarilla,Región de Atacama ,"-27.481677050000002,-70.26654501796801",ARCHIVADORES Y CAJAS DE RESMAS PAPEL ,Febrero/2024,789833
I MUNICIPALIDAD DE TUCAPEL,,Tucapel,Región del Biobío ,"-37.24030085,-71.94019864386175",O.a compra ágil: 3305-58-COT24 RESMAS DE PAPEL PARA LOS ALUMNOS DE LA ESCUELA LOS AVELLANOS DE POLCURA.,Febrero/2024,1207910
I MUNICIPALIDAD DE TUCAPEL,"Diego Portales N°258, Huepil",Tucapel,Región del Biobío ,"-37.24030085,-71.94019864386175",Orden de Compra: 3305-47-CM24 RESMAS DE PAPEL PARA ALUMNOS LICEO DE TUCAPEL.,Febrero/2024,2107609
I MUNICIPALIDAD DE VALLENAR,,Vallenar,Región de Atacama ,"-28.5745602,-70.7613728",Orden de Compra generada por invitación a compra ágil: 2322-22-COT24.   Compra de resma de papel para distintas direcciones municipales ,Febrero/2024,1484466
I MUNICIPALIDAD DE YUMBEL,,Yumbel,Región del Biobío ,"-37.0978413,-72.561378","Remas de papel oficio y carta, papel fotográfico y otros para EPK",Febrero/2024,310778
I MUNICIPALIDAD DE YUMBEL,OHIGGINS N° 851 YUMBEL,Yumbel,Región del Biobío ,"-37.0978413,-72.561378",Resmas de papel para LRC,Febrero/2024,743393
I MUNICIPALIDAD DE YUMBEL,OHIGGINS N° 851 YUMBEL,Yumbel,Región del Biobío ,"-37.0978413,-72.561378",Resmas de papel para LGG,Febrero/2024,1718598
I MUNICIPALIDAD VALDIVIA,,Valdivia,Región de Los Ríos,"-39.812843099999995,-73.24694851875219"," 1, SP.93833, GESTION, DAEM, ADQ. 50 RESMAS PAPEL 500 HOJAS TAMAÑO CARTA.  Orden de Compra generada por invitación a compra ágil: 2280-14-COT24",Febrero/2024,215926
I MUNICIPALIDAD VALDIVIA,,Valdivia,Región de Los Ríos,"-39.812843099999995,-73.24694851875219"," 2 SP 94115, DAEM, SEP, ADQUISICIÓN RESMAS DE PAPEL TAMAÑO OFICIO. OFERTA DEBE INCLUIR COTIZACIÓN FORMAL QUE INDIQUE, PLAZO DE ENTREGA. PRECIO Y FLETE A DESTINO Orden de Compra generada por invitación a compra ágil: 2280-15-COT24",Febrero/2024,407218
I MUNICIPALIDAD VALDIVIA,,Valdivia,Región de Los Ríos,"-39.812843099999995,-73.24694851875219"," 1, SP.93938, SEP, ESCUELA RURAL CASA BLANCA, ADQ. RESMAS PAPEL TAMAÑO OFICIO Y CARTA.  Orden de Compra generada por invitación a compra ágil: 2280-24-COT24",Febrero/2024,104791
I.MUNICIPALIDAD DE CERRO NAVIA,DEL CONSISTORIAL 6645 CERRO NAVIA.,Cerro Navia,Región Metropolitana de Santiago,"-33.434346950000005,-70.7290315444265",Resmas de papel ,Febrero/2024,4181303
Ilustre Municipalidad de Yerbas Buenas,Avda. Centenario 101,Yerbas Buenas,Región del Maule ,"-35.7477097,-71.5828535",RESMAS DE PAPEL PARA DAEM,Febrero/2024,619752
POLICIA DE INVESTIGACIONES DE CHILE,Prat 19,Temuco,Región de la Araucanía ,"-36.615961850000005,-72.11605083696296",OC 3290-43-CM24 RESMAS PAPEL OFICIO REPOL ARAUCANÍA,Marzo/2024,7997109
SERVICIO DE REGISTRO CIVIL E IDENTIFICACION,Huerfanos 1570 - PISO 2. Santiago Centro,Santiago,Región Metropolitana de Santiago,"-33.438788,-70.66147054127686",Resmas de Papel Tamaño Oficio y Carta. Orden de Compra: 1360-13-CM24.,Febrero/2024,14998510
FUERZA AEREA DE CHILE COMANDO LOGISTICO,,Pudahuel,Región Metropolitana de Santiago,"-33.49138405,-70.7010048713825",GM007 Papel de fotocopia 5196-65-COT24,Febrero/2024,123290
I MUNICIPALIDAD DE CALAMA,,Calama,Región de Antofagasta ,"-22.4634382,-68.92573347389403",PAPEL DE IMPRESION (Compra ágil: 2385-48-COT24),Febrero/2024,504084
I MUNICIPALIDAD DE TEMUCO,Prat  0130  Temuco,Temuco,Región de la Araucanía ,"-38.7397933,-72.5909289","S32 SEP ADQUISICIÓN DE RESMAS DE PAPEL OFICIO Y CARTA, MILLARAY (ORD N°10)",Febrero/2024,1491784
CORP ADMINISTRATIVA DEL PODER JUDICIAL,"Edificio Plaza Poniente, Calle Uno Poniente N°1258, Piso 10",Talca,Región del Maule ,"0,0",COMPRA DE PAPEL OFICIO FOTOCOPIADORAS ,Febrero/2024,2004555
DELEGACIÓN PRESIDENCIAL REGIONAL DE LOS LAGOS,,Puerto Montt,Región de los Lagos ,"-42.4820754,-73.76553340612708", Adquisición resmas de papel tamaño oficio. Delegación Presidencial Regional.,Febrero/2024,244902
DELEGACIÓN PRESIDENCIAL REGIONAL DE LOS LAGOS,,Puerto Montt,Región de los Lagos ,"-42.4820754,-73.76553340612708",Adquisición resmas de papel tamaño carta. Delegación Presidencial.,Febrero/2024,145656
DIRECCION DE ABASTECIMIENTO DE LA ARMADA,AVENIDA GRUMETE TELLEZ S/N,Talcahuano,Región del Biobío ,"0,0",PAPEL FOTOCOPIA 3156-126-CM24,Febrero/2024,8200483
I MUNICIPALIDAD DE CORONEL,,Coronel,Región del Biobío ,"-37.0294737,-73.14622918699935",ESC. RAFAEL SOTOMAYOR - RESMAS PAPEL ,Febrero/2024,603508
I MUNICIPALIDAD DE LEBU,,Lebu,Región del Biobío ,"-37.6109586,-73.6561279",RESMAS DE PAPEL FOTOCOPIA PARA ESC. F-788/VER DESPACHO,Febrero/2024,604520
I MUNICIPALIDAD DE LOS ALAMOS DEPTO COMUNAL,Luis Saez Mora 509,Los Alamos,Región del Biobío ,"-37.6266115,-73.4609456",TINTAS Y PAPEL FOTOCOPIA,Febrero/2024,1387540
I MUNICIPALIDAD DE LOS ALAMOS DEPTO COMUNAL,Luis Saez Mora 509,Los Alamos,Región del Biobío ,"-37.6266115,-73.4609456",TINTAS Y PAPEL FOTOCOPIA,Febrero/2024,1616198
I MUNICIPALIDAD DE LOS ALAMOS DEPTO COMUNAL,Luis Saez Mora 509,Los Alamos,Región del Biobío ,"-37.6266115,-73.4609456","TINTAS, TONER Y PAPEL FOTOCOPIA",Febrero/2024,5277650
I MUNICIPALIDAD DE TEMUCO,Prat  0130  Temuco,Temuco,Región de la Araucanía ,"-38.7397933,-72.5909289","S11.ADQ DE MATERIALES DE OFICINA ( RESMAS PAPEL REGLAS, TIJERAS, ETC) PARA DPTO DE EDUCACION..FONDOS ADM CENTRAL SEP..Orden de Compra: 5060-16-CM24",Febrero/2024,2264588
Ilustre Municipalidad de Ranquil,Manuel Matta  440,Ranquil,Región del Ñuble,"-36.6046813,-72.5343925",COMPRA RESMAS DE PAPEL PARA DAEM Y E.E. RANQUIL,Febrero/2024,3953549
MUNICIPALIDAD DE LOS ANDES,ESMERALDA N° 536 LOS ANDES,Los Andes,Región de Valparaíso ,"-38.932738549999996,-72.03295800911474",Resmas de Papel Oficio ,Febrero/2024,2529702
COMANDO DE APOYO A LA FUERZA,Av. Libertador Bernando O'Higgins N 1449 TORRE 3 PISO 7,Santiago,Región Metropolitana de Santiago,"0,0",ADQUISICION DE RESMAS DE PAPEL PARA LA JEAFOSALE,Abril/2024,2789955
CORP MUNICIPAL DE SERVICIOS Y DESARROLLO,Av. Pajaritos N° 2756 (Administración Central Codeduc),Maipú,Región Metropolitana de Santiago,"0,0",SC-49619/SEP/RESMAS DE PAPEL TAMAÑO CARTA Y OFICIO/LICEO NACIONAL DE MAIPU/JFM.,Abril/2024,3996248
I MUNICIPALIDAD DE CODEGUA,"O""higgins 376",Codegua,Región del Libertador General Bernardo O´Higgins,"-34.0389815,-70.6670417","Adquisición de Resmas de Papel para el funcionamiento de los establecimientos educacionales de la comuna de codegua, con cargo a la Ley 20.248 y Subvención General DAEM  ",Abril/2024,4625405
I MUNICIPALIDAD DE CORONEL,,Coronel,Región del Biobío ,"-37.0294737,-73.14622918699935",ESC. ROSA YAÑEZ - PAPEL FOTOCOPIADO,Abril/2024,213563
I MUNICIPALIDAD DE CURACAUTIN,Arturo Prat 336,,,"-38.4380565,-71.8879024",COMPRA RESMAS PAPEL DAEM,Abril/2024,1526056
I MUNICIPALIDAD DE CURANILAHUE,Cardenio Avello 720,Curanilahue,Región del Biobío ,"-37.47802385,-73.34371280155563","ADQUISICION DE RESMAS DE PAPEL PARA REPRODUCCION DE DOCUMENTOS PARA ALUMNOS DEL LICEO MARIANO LATORRE, FONDOS SEP",Abril/2024,2248386
I MUNICIPALIDAD DE GRANEROS,"Plaza de Armas S/N, Graneros",,,"-34.0644816,-70.72596801489823",RESMAS PAPEL CARTA  Y OFICIO PARA COLEGIOS MUNICIPALES,Abril/2024,7728657
I MUNICIPALIDAD DE ILLAPEL,Constitución #24,Illapel,Región de Coquimbo ,"-31.6333804,-71.1681965","IMPRESIONES  PAPELERIA, PROGRAMA ILLAPEL TE CUIDA",Abril/2024,163363
I MUNICIPALIDAD DE PADRE LAS CASAS,,Padre Las Casas,Región de la Araucanía ,"-38.77338615,-72.59711090989668",ADQUISICIÓN RESMAS PAPEL OFICIO Y CARTA. SENAMA CENTRO DIURNO PERSONAS MAYORES PU KIMCHE ÑI RUKA compra ágil: 2546-224-COT24,Abril/2024,334128
I MUNICIPALIDAD DE PRIMAVERA,,Primavera,Región de Magallanes y de la Antártica,"-52.7740375,-69.2873616",Compra de 120 resmas de papel tamaño oficio,Abril/2024,583624
I MUNICIPALIDAD DE PUTAENDO,AV. ALESSANDRI 196,Putaendo,Región de Valparaíso ,"-32.6263021,-70.7160814",COMPRA DE PAPEL OFICIO,Abril/2024,69900
I MUNICIPALIDAD DE QUILLECO,J. M. CARRERA N° 460,Quilleco,Región del Biobío ,"-37.4701516,-71.9797915","PAPEL FOTOCOPIADORA, LICEO FRANCISCO BASCUÑAN G",Abril/2024,2632161
I MUNICIPALIDAD DE RENGO,,Rengo,Región del Libertador General Bernardo O´Higgins,"-34.40839045,-70.86363184493334",PAPEL FOTOCOPIA ESCUELA LOS CHOAPINOS,Abril/2024,348551
I MUNICIPALIDAD DE RIO NEGRO,,Río Negro,Región de los Lagos ,"-40.7959475,-73.2170768",RESMAS DE PAPEL CARTA Y OFICIO STOCK BODEGA MUNICIPAL generada por invitación a compra ágil: 450-65-COT24,Abril/2024,802536
I MUNICIPALIDAD DE SAN PABLO,Bolivia 498,San Pablo,Región de los Lagos ,"-33.446576500000006,-70.74205082203748",RESMAS DE PAPEL  FOTOCOPIA PARA LICEO F.P.ROYO,Abril/2024,2811196
I MUNICIPALIDAD DE TALCA,DIRECCION COMUNAL DE EDUCACION MUNICIPAL 4 ORIENTE N°	1280 TALCA,Talca,Región del Maule ,"-35.4257615,-71.66543442233423",PAPEL IMPRESION CARTA - SEP - ESCUELA AURORA DE CHILE,Abril/2024,1719550
I MUNICIPALIDAD DE TALCA,DIRECCION COMUNAL DE EDUCACION MUNICIPAL 4 ORIENTE N°	1280 TALCA,Talca,Región del Maule ,"-35.4257615,-71.66543442233423",PAPEL IMPRESION CARTA Y OFICIO - LEY SEP - ESCUELA ESPERANZA,Abril/2024,921655
I MUNICIPALIDAD DE TALCA,DIRECCION COMUNAL DE EDUCACION MUNICIPAL 4 ORIENTE N°	1280 TALCA,,,"-35.4257615,-71.66543442233423",PAPEL IMPRESION ESCUELA CARLOS SALINAS LAGOS // SEP // Orden de Compra: 2294-173-CM24,Abril/2024,5468050
I MUNICIPALIDAD DE TALCA,DIRECCION COMUNAL DE EDUCACION MUNICIPAL 4 ORIENTE N°	1280 TALCA,Talca,Región del Maule ,"-35.4257615,-71.66543442233423",PAPEL IMPRESION ESCUELA FELIPE CUBILLOS BRILLA EL SOL // SEP // Orden de Compra: 2294-264-CM24,Abril/2024,670541
I MUNICIPALIDAD DE TEMUCO,,Temuco,Región de la Araucanía ,"-38.7397933,-72.5909289",S23-SEP. ADQ. DE RESMAS DE PAPEL PARA ESC.LABRANZA ORD N°16,Abril/2024,1163344
ILUSTRE MUNICIPALIDAD DE RETIRO,,Retiro,Región del Maule ,"-36.057624,-71.7656583",RESMAS DE PAPEL PARA UNIDAD ECONOMATO,Abril/2024,872508
MINISTERIO DE BIENES NACIONALES,,Puerto Montt,Región de los Lagos ,"-33.4432519,-70.64647013760111",resmas de papel oficio,Abril/2024,333219
Municipalidad de Gorbea, Blanco Encalada 995	,Gorbea,Región de la Araucanía ,"-39.1023675,-72.6754981",RESMAS DE PAPEL PARA LA ESCUELA LOS PERALES,Abril/2024,805749
CORP ADMINISTRATIVA DEL PODER JUDICIAL,,Curicó,Región del Maule ,"0,0",Rollos de papel para impresora térmica,Abril/2024,32130
COMANDO DE APOYO A LA FUERZA,Padre Hurtado 19013,San Bernardo,Región Metropolitana de Santiago,"-33.5673051,-70.8020467",LP- RESMA DE PAPEL OFICIO,Mayo/2024,2822561
CORP MUNICIPAL DE SERVICIOS Y DESARROLLO,,Maipú,Región Metropolitana de Santiago,"0,0", SC-49725/SEP/RESMAS DE PAPEL BLANCO/ESCUELA LAS AMERICAS/N.P.S,Mayo/2024,225695
CORP NACIONAL FORESTAL,,Valdivia,Región de Los Ríos,"0,0",JAD/COS.PROP.-OPV/PAPEL TAMAÑO CARTA/SAE-81,Mayo/2024,359975
I MUNICIPALIDAD DE LAUTARO,,Lautaro,Región de la Araucanía ,"-38.5338143,-72.43578123564073",CAJAS DE RESMAS DE PAPEL PARA IMPRESIÓN DE CECOSF PILLANLELBUN,Mayo/2024,1261043
SUPERINTENDENCIA DE SEGURIDAD SOCIAL,"Huérfanos N° 1376, piso 5°",Santiago Centro,Región Metropolitana de Santiago,"-33.4404619,-70.6534372","SC 3207 UGDI, Compra Resma Papel carta y oficio",Mayo/2024,1069274
I MUNICIPALIDAD DE LOS ANGELES,CAUPOLICAN 399,Los Angeles,Región del Biobío ,"-37.47112635,-72.35064063866517",ADQ. PAPEL IMPRESION  PARA ESCUELA D-932,Mayo/2024,3371508
I MUNICIPALIDAD DE SAN MIGUEL,,San Miguel,Región Metropolitana de Santiago,"-33.4858114,-70.6496978914698",RESMAS DE PAPEL TAMAÑO CARTA Y OTROS - DEPORTES N° 18 ,Mayo/2024,206916
ILUSTRE MUNICIPALIDAD DE COLBUN,CALLE ADOLFO NOVOA 419,Colbún,Región del Maule ,"-35.6969121,-71.4017404",Papel fotocopia para la Escuela San Juna y Escuela Paso Rari ,Mayo/2024,1264375
CORP ADMINISTRATIVA DEL PODER JUDICIAL,,Puerto Montt,Región de los Lagos ,"0,0",MATERIALES DE OFICINA (Papel tamaño Oficio),Mayo/2024,170884
DELEGACIÓN PRESIDENCIAL REGIONAL DE LOS LAGOS,,Puerto Montt,Región de los Lagos ,"-42.4820754,-73.76553340612708", Adquisición resmas de papel tamaño oficio. Delegación Presidencial Regional.,Mayo/2024,242760
DELEGACIÓN PRESIDENCIAL REGIONAL DE LOS LAGOS,,Puerto Montt,Región de los Lagos ,"-42.4820754,-73.76553340612708",Adquisición de resmas de papel tamaño carta. Delegación Presidencial Regional.,Mayo/2024,145656
FUERZA AEREA DE CHILE COMANDO LOGISTICO,Avenida Las Condes Nº 8631,Las Condes,Región Metropolitana de Santiago,"-33.49138405,-70.7010048713825",BVS/SOL.Nº025/PAPEL CARTA/SDAO,Mayo/2024,7226822
I MUNICIPALIDAD DE CURICO,,Curicó,Región del Maule ,"-34.98554105,-71.23854218545901",82920 RESMAS DE PAPEL TAMAÑO CARTA Y OFICIO ESCUELA ESPAÑA DE CURICÓ  por invitación a compra ágil: 2440-691-COT24,Mayo/2024,823956
I MUNICIPALIDAD DE CURICO,,Curicó,Región del Maule ,"-34.98554105,-71.23854218545901",83556 RESMAS DE PAPEL TAMAÑO CARTA Y OFICIO COLEGIO SAN ANTONIO DE CURICÓ  por invitación a compra ágil: 2440-720-COT24,Mayo/2024,346944
I MUNICIPALIDAD DE LEBU,RIOSECO 550,Lebu,Región del Biobío ,"-37.6109586,-73.6561279",RESMAS DE PAPEL FOTOCOPIA PARA ESC. F-792 LA FORTUNA,Mayo/2024,2245887
I MUNICIPALIDAD DE LOS ANGELES,CAUPOLICAN 399,Los Angeles,Región del Biobío ,"-37.47112635,-72.35064063866517",PAPEL PARA IMPRESIÓN DE MATERIAL PEDAGÓGICO DEL LICEO COMERCIAL B-64,Mayo/2024,5196135
I MUNICIPALIDAD DE MONTEPATRIA,,Monte Patria,Región de Coquimbo ,"0,0",Papel oficio-DIDECO-Prog. de protección familiar,Mayo/2024,40484
I MUNICIPALIDAD DE PENCAHUE,,Pencahue,Región del Maule ,"-35.3965957,-71.79943152431821",RESMAS DE PAPEL Y LIBROS DE ASISTENCIA PARA LOS ESTABLCIMIENTO EDUCACIONALES DE PENCAHUE,Mayo/2024,260967
I MUNICIPALIDAD DE PUREN,Urrutia 640,Purén,Región de la Araucanía ,"-38.0322967,-73.0730333",SUBV. SEP-ADQUISICIÓN DE PAPEL PARA IMPRESORA ESC. TRANAMAN,Mayo/2024,99798
I MUNICIPALIDAD DE TOME,"Ignacio Serrano 1055, 2° Piso.",Tomé,Región del Biobío ,"-36.617159,-72.958481",Adquisición de resmas de hoja de papel tamaños carta y oficio para la Escuela Gabriela Mistral de Tomé. Orden de Compra: 2665-515-CM24,Mayo/2024,2740272
I MUNICIPALIDAD DE TOME,"Ignacio Serrano 1055, 2° Piso.",Tomé,Región del Biobío ,"-36.617159,-72.958481",Adquisición de resmas de hojas papel tamaños oficio y carta para la Escuela Arturo Prat de Tomé. Orden de Compra: 2665-514-CM24,Mayo/2024,1362360
